dep,title,gen,tenure,setting,nps.cat,variable,value
Agency/Landlord Brokerage,SVP,Born 1981-1990,11-15 years,A private office,Detractor,takehome,Disagree
Communications and Marketing,Manager/Regional Manager,Born 1965-1980,3-5 years,Open workstation with low or no panels,Detractor,takehome,Strongly Agree
Global Workplace Solutions (GWS),Associate/ Sr Associate,Born 1965-1980,3-5 years,I am not assigned to an individual workspace,Passive,takehome,Agree
Global Workplace Solutions (GWS),Manager/Regional Manager,Born 1981-1990,3-5 years,I am not assigned to an individual workspace,Promoter,takehome,Strongly Agree
Agency/Landlord Brokerage,SVP,Born 1965-1980,Less than 1 year,A private office,Detractor,takehome,Agree
Transaction Management,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,takehome,Agree
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,takehome,Agree
"Specialty Services Brokerage (Land, Hotels, Healthcare)",SVP,Born 1965-1980,6-10 years,A private office,Promoter,takehome,Strongly Agree
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,takehome,Agree
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,takehome,Disagree
Business Services/Office Services,Associate/ Sr Associate,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,takehome,Disagree
Asset Services,Manager/Regional Manager,Born before 1964,16 years or more,Open workstation with low or no panels,Detractor,takehome,Disagree
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,takehome,Disagree
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,takehome,Agree
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,takehome,Agree
Global Workplace Solutions (GWS),SVP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Detractor,takehome,Strongly Agree
Capital Markets/Investment Properties,SVP,Born 1981-1990,11-15 years,A private office,Detractor,takehome,Agree
Corporate Services,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,takehome,Strongly Disagree
Asset Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,takehome,Strongly Disagree
"Specialty Services Brokerage (Land, Hotels, Healthcare)",VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Passive,takehome,Disagree
Occupier A&amp;T Services,SVP,Born before 1964,11-15 years,A private office,Passive,takehome,Strongly Agree
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,takehome,Strongly Disagree
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,takehome,Disagree
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,takehome,Disagree
Client Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Promoter,takehome,Agree
Business Services/Office Services,Manager/Regional Manager,Born 1981-1990,3-5 years,A shared office or work room,Detractor,takehome,Strongly Agree
Global Workplace Solutions (GWS),Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,takehome,Disagree
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,A private office,Passive,takehome,Disagree
Capital Markets/Investment Properties,VP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,takehome,Disagree
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,takehome,Strongly Agree
Business Services/Office Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,takehome,Disagree
Global Workplace Solutions (GWS),Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,takehome,Disagree
Project Management,Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,takehome,Disagree
Project Management,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,takehome,Strongly Agree
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,takehome,Agree
Capital Markets/Debt and Structured Finance,Vice Chairman,Born before 1964,3-5 years,A private office,Promoter,takehome,Strongly Agree
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,takehome,Disagree
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,takehome,Agree
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,takehome,Strongly Disagree
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,takehome,Agree
Agency/Landlord Brokerage,EVP,Born 1965-1980,11-15 years,A private office,Detractor,takehome,Agree
Occupier A&amp;T Services,EVP,Born before 1964,6-10 years,A private office,Detractor,takehome,Disagree
Research,Director,Born 1981-1990,1-2 years,A private office,Detractor,takehome,Strongly Agree
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,takehome,Agree
Research,Analyst/Sr Analyst,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,takehome,Disagree
Retail Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,takehome,Strongly Agree
Agency/Landlord Brokerage,SVP,Born 1965-1980,3-5 years,A private office,Detractor,takehome,Agree
Asset Services,Director,Born before 1964,3-5 years,A private office,Promoter,takehome,Agree
Occupier A&amp;T Services,VP,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,takehome,Disagree
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,takehome,Disagree
Asset Services,Manager/Regional Manager,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,takehome,Disagree
Project Management,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,takehome,Strongly Agree
Asset Services,Supervisor,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,takehome,Disagree
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,takehome,Strongly Agree
Business Services/Office Services,Administrative,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,takehome,Strongly Agree
Research,Director,Born 1981-1990,11-15 years,Open workstation with low or no panels,Detractor,takehome,Strongly Agree
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,takehome,Strongly Agree
Project Management,Manager/Regional Manager,Born 1981-1990,6-10 years,Open workstation with low or no panels,Promoter,takehome,Agree
Occupier A&amp;T Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,takehome,Disagree
Occupier A&amp;T Services,Managing Director/Sr Managing Director,Born before 1964,1-2 years,A private office,Passive,takehome,Agree
Occupier A&amp;T Services,VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Detractor,takehome,Strongly Agree
Client Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,takehome,Agree
Occupier A&amp;T Services,Supervisor,Born 1981-1990,11-15 years,Open workstation with low or no panels,Promoter,takehome,Agree
Capital Markets/Investment Properties,SVP,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,takehome,Agree
Occupier A&amp;T Services,FVP,Born 1981-1990,11-15 years,A private office,Detractor,takehome,Disagree
Occupier A&amp;T Services,Director,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,takehome,Strongly Agree
Transaction Management,Vice Chairman,Born before 1964,11-15 years,A private office,Passive,takehome,Agree
Capital Markets/Investment Properties,SVP,Born before 1964,16 years or more,A private office,Detractor,takehome,Strongly Agree
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,takehome,Strongly Agree
Project Management,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,takehome,Strongly Agree
Asset Services,Director,Born 1965-1980,11-15 years,A private office,Passive,takehome,Strongly Agree
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,takehome,Strongly Agree
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,takehome,Disagree
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,takehome,Agree
Capital Markets/Investment Properties,EVP,Born before 1964,16 years or more,A private office,Detractor,takehome,Agree
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,takehome,Strongly Agree
Client Services,Administrative,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,takehome,Agree
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,takehome,Agree
Financial Consulting Group,Manager/Regional Manager,Born 1965-1980,3-5 years,A private office,Passive,takehome,Disagree
Project Management,Managing Director/Sr Managing Director,Born before 1964,3-5 years,A private office,Detractor,takehome,Agree
Occupier A&amp;T Services,SVP,Born 1965-1980,11-15 years,A private office,Detractor,onewordculture,Flat
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,onewordculture,Disconnected
Agency/Landlord Brokerage,SVP,Born 1965-1980,11-15 years,A private office,Promoter,onewordculture,Collegial
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,onewordculture,Fast
Capital Markets/Investment Properties,Administrative,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,onewordculture,parsimonious
Capital Markets/Investment Properties,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,onewordculture,Cooperative
Global Workplace Solutions (GWS),Manager/Regional Manager,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,onewordculture,entrepreneurial
Agency/Landlord Brokerage,SVP,Born before 1964,16 years or more,A private office,Passive,onewordculture,detached
Management/Leadership,Managing Director/Sr Managing Director,Born 1965-1980,11-15 years,Open workstation with low or no panels,Passive,onewordculture,Meritocracy
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,onewordculture,growing
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,onewordculture,go getters
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,onewordculture,Team dependent
Research,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,onewordculture,irregular
Financial Consulting Group,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,onewordculture,Social
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,onewordculture,Clicky
Communications and Marketing,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,onewordculture,decentralized
Occupier A&amp;T Services,SVP,Born 1965-1980,Less than 1 year,A private office,Promoter,onewordculture,Innovative but also Flat (where is the fire in DC!?)
Research,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,onewordculture,Dynamic
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1965-1980,11-15 years,Open workstation with low or no panels,Detractor,onewordculture,Collaborative
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,onewordculture,Driven
Project Management,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,onewordculture,Standard
Occupier A&amp;T Services,Analyst/Sr Analyst,Born 1991 or after,1-2 years,I am not assigned to an individual workspace,Detractor,onewordculture,Independent
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,onewordculture,collaborative
Occupier A&amp;T Services,Vice Chairman,Born 1965-1980,6-10 years,A private office,Detractor,onewordculture,Respectful
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,onewordculture,disjointed
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,onewordculture,Old school
Client Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,onewordculture,responsive
Communications and Marketing,Managing Director/Sr Managing Director,Born 1965-1980,1-2 years,A private office,Detractor,onewordculture,neutral
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Promoter,onewordculture,Collaborative
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,onewordculture,"The people are fun-spirited, but there is little interaction outsite of my individual group, which makes the culture seem a little bit sterile"
IT,Manager/Regional Manager,Born 1965-1980,16 years or more,A shared office or work room,Detractor,onewordculture,Bottom-line
Management/Leadership,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,onewordculture,Wolfpack/Brotherhood
Capital Markets/Debt and Structured Finance,VP,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,onewordculture,Different cultures by department
Occupier A&amp;T Services,SVP,Born 1965-1980,6-10 years,A private office,Promoter,onewordculture,effective
Client Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Detractor,onewordculture,Formal
Communications and Marketing,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,onewordculture,conservative
Capital Markets/Debt and Structured Finance,FVP,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,onewordculture,fine
Occupier A&amp;T Services,SVP,Born before 1964,16 years or more,A private office,Promoter,onewordculture,fair
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,onewordculture,bifurcated
Occupier A&amp;T Services,EVP,Born before 1964,16 years or more,A private office,Promoter,onewordculture,Forward Thinking
Management/Leadership,Manager/Regional Manager,Born 1981-1990,6-10 years,A shared office or work room,Detractor,onewordculture,Behind
Asset Services,Managing Director/Sr Managing Director,Born 1965-1980,11-15 years,A private office,Promoter,onewordculture,collaborative
Global Workplace Solutions (GWS),Director,Born 1981-1990,6-10 years,A private office,Promoter,onewordculture,Relentless
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,onewordculture,quiet
Business Services/Office Services,Administrative,Born 1965-1980,3-5 years,A shared office or work room,Promoter,onewordculture,TEAM
Agency/Landlord Brokerage,SVP,Born 1981-1990,11-15 years,A private office,Detractor,onewordculture,siloed
Communications and Marketing,Manager/Regional Manager,Born 1965-1980,3-5 years,Open workstation with low or no panels,Detractor,onewordculture,N/A
Global Workplace Solutions (GWS),Associate/ Sr Associate,Born 1965-1980,3-5 years,I am not assigned to an individual workspace,Passive,onewordculture,Accommodating
Global Workplace Solutions (GWS),Manager/Regional Manager,Born 1981-1990,3-5 years,I am not assigned to an individual workspace,Promoter,onewordculture,Disjointed
Agency/Landlord Brokerage,SVP,Born 1965-1980,Less than 1 year,A private office,Detractor,onewordculture,collaberative
Transaction Management,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,onewordculture,Professional
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,onewordculture,Competitive
"Specialty Services Brokerage (Land, Hotels, Healthcare)",SVP,Born 1965-1980,6-10 years,A private office,Promoter,onewordculture,Dynamic
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,onewordculture,Collaborative
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,onewordculture,Innovative
Business Services/Office Services,Associate/ Sr Associate,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,onewordculture,Professional
Asset Services,Manager/Regional Manager,Born before 1964,16 years or more,Open workstation with low or no panels,Detractor,onewordculture,Disjointed
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,onewordculture,Determined
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,onewordculture,Secluded
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,onewordculture,scatter-shot
Global Workplace Solutions (GWS),SVP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Detractor,onewordculture,collaborative
Capital Markets/Investment Properties,SVP,Born 1981-1990,11-15 years,A private office,Detractor,onewordculture,siloed
Corporate Services,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,onewordculture,collaborative
Asset Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,onewordculture,N/A
"Specialty Services Brokerage (Land, Hotels, Healthcare)",VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Passive,onewordculture,emerging
Occupier A&amp;T Services,SVP,Born before 1964,11-15 years,A private office,Passive,onewordculture,Collaboarative
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,onewordculture,Traditional
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,onewordculture,Flat
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,onewordculture,Talkative
Client Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Promoter,onewordculture,Cordial
Business Services/Office Services,Manager/Regional Manager,Born 1981-1990,3-5 years,A shared office or work room,Detractor,onewordculture,Corporate
Global Workplace Solutions (GWS),Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,onewordculture,dynamic
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,A private office,Passive,onewordculture,Corporate
Capital Markets/Investment Properties,VP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,onewordculture,Trust
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,onewordculture,Uneven
Business Services/Office Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,onewordculture,Fractured
Global Workplace Solutions (GWS),Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,onewordculture,inclusive
Project Management,Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,onewordculture,Corporate
Project Management,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,onewordculture,Fast
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,onewordculture,Effecient
Capital Markets/Debt and Structured Finance,Vice Chairman,Born before 1964,3-5 years,A private office,Promoter,onewordculture,CBRE
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,onewordculture,Melting Pot
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,onewordculture,cohesive
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,onewordculture,Collaborative
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,onewordculture,supportive
Agency/Landlord Brokerage,EVP,Born 1965-1980,11-15 years,A private office,Detractor,onewordculture,professional
Occupier A&amp;T Services,EVP,Born before 1964,6-10 years,A private office,Detractor,onewordculture,mis trustingmis trusting
Research,Director,Born 1981-1990,1-2 years,A private office,Detractor,onewordculture,hard-working
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,onewordculture,connected
Research,Analyst/Sr Analyst,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,onewordculture,Supportive
Retail Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,onewordculture,corporate
Agency/Landlord Brokerage,SVP,Born 1965-1980,3-5 years,A private office,Detractor,onewordculture,Collaborative
Asset Services,Director,Born before 1964,3-5 years,A private office,Promoter,onewordculture,stale
Occupier A&amp;T Services,VP,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,onewordculture,Improving
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,onewordculture,Supportive
Asset Services,Manager/Regional Manager,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,onewordculture,segregated
Project Management,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,onewordculture,compartmentalized
Asset Services,Supervisor,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,onewordculture,collaborative
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,onewordculture,hard working
Business Services/Office Services,Administrative,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,onewordculture,Open
Research,Director,Born 1981-1990,11-15 years,Open workstation with low or no panels,Detractor,onewordculture,Entrepreneurial
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,onewordculture,Ambitious
Project Management,Manager/Regional Manager,Born 1981-1990,6-10 years,Open workstation with low or no panels,Promoter,onewordculture,Collabrative
Occupier A&amp;T Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,onewordculture,Collaborative
Occupier A&amp;T Services,Managing Director/Sr Managing Director,Born before 1964,1-2 years,A private office,Passive,onewordculture,Congenial
Occupier A&amp;T Services,VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Detractor,onewordculture,driven
Client Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,onewordculture,Open
Occupier A&amp;T Services,Supervisor,Born 1981-1990,11-15 years,Open workstation with low or no panels,Promoter,onewordculture,improving
Capital Markets/Investment Properties,SVP,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,onewordculture,teamwork
Occupier A&amp;T Services,FVP,Born 1981-1990,11-15 years,A private office,Detractor,onewordculture,Proud
Occupier A&amp;T Services,Director,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,onewordculture,Entrepreneurial
Transaction Management,Vice Chairman,Born before 1964,11-15 years,A private office,Passive,onewordculture,Collaborative
Capital Markets/Investment Properties,SVP,Born before 1964,16 years or more,A private office,Detractor,onewordculture,Negative
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,onewordculture,developing
Project Management,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,onewordculture,efficient
Asset Services,Director,Born 1965-1980,11-15 years,A private office,Passive,onewordculture,structured
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,onewordculture,collaboration
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,onewordculture,360
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,onewordculture,professional
Capital Markets/Investment Properties,EVP,Born before 1964,16 years or more,A private office,Detractor,onewordculture,teamwork
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,onewordculture,Generic
Client Services,Administrative,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,onewordculture,fastpaced
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,onewordculture,Collaborative
Financial Consulting Group,Manager/Regional Manager,Born 1965-1980,3-5 years,A private office,Passive,onewordculture,collaborative
Project Management,Managing Director/Sr Managing Director,Born before 1964,3-5 years,A private office,Detractor,onewordculture,Collaborative
Occupier A&amp;T Services,SVP,Born 1965-1980,11-15 years,A private office,Detractor,design,Poor
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,design,Fair
Agency/Landlord Brokerage,SVP,Born 1965-1980,11-15 years,A private office,Promoter,design,Good
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,design,Fair
Capital Markets/Investment Properties,Administrative,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,design,Fair
Capital Markets/Investment Properties,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,design,Good
Global Workplace Solutions (GWS),Manager/Regional Manager,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,design,Good
Agency/Landlord Brokerage,SVP,Born before 1964,16 years or more,A private office,Passive,design,Good
Management/Leadership,Managing Director/Sr Managing Director,Born 1965-1980,11-15 years,Open workstation with low or no panels,Passive,design,Fair
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,design,Good
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,design,Fair
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,design,Fair
Research,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,design,Fair
Financial Consulting Group,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,design,Good
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,design,Good
Communications and Marketing,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,design,Fair
Occupier A&amp;T Services,SVP,Born 1965-1980,Less than 1 year,A private office,Promoter,design,Good
Research,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,design,Fair
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1965-1980,11-15 years,Open workstation with low or no panels,Detractor,design,Poor
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,design,Fair
Project Management,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,design,Good
Occupier A&amp;T Services,Analyst/Sr Analyst,Born 1991 or after,1-2 years,I am not assigned to an individual workspace,Detractor,design,Fair
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,design,Good
Occupier A&amp;T Services,Vice Chairman,Born 1965-1980,6-10 years,A private office,Detractor,design,Poor
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,design,Good
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,design,Fair
Client Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,design,Good
Communications and Marketing,Managing Director/Sr Managing Director,Born 1965-1980,1-2 years,A private office,Detractor,design,Fair
