dep,title,gen,tenure,setting,nps.cat,variable,value
Global Workplace Solutions (GWS),Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,ind,70
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,A private office,Passive,ind,70
Capital Markets/Investment Properties,VP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,ind,90
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,ind,75
Business Services/Office Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,ind,70
Global Workplace Solutions (GWS),Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,ind,50
Project Management,Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,ind,95
Project Management,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,ind,50
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,ind,80
Capital Markets/Debt and Structured Finance,Vice Chairman,Born before 1964,3-5 years,A private office,Promoter,ind,10
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,ind,70
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,ind,70
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,ind,60
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,ind,20
Agency/Landlord Brokerage,EVP,Born 1965-1980,11-15 years,A private office,Detractor,ind,60
Occupier A&amp;T Services,EVP,Born before 1964,6-10 years,A private office,Detractor,ind,70
Research,Director,Born 1981-1990,1-2 years,A private office,Detractor,ind,80
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,ind,25
Research,Analyst/Sr Analyst,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,ind,70
Retail Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,ind,40
Agency/Landlord Brokerage,SVP,Born 1965-1980,3-5 years,A private office,Detractor,ind,50
Asset Services,Director,Born before 1964,3-5 years,A private office,Promoter,ind,95
Occupier A&amp;T Services,VP,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,ind,70
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,ind,60
Asset Services,Manager/Regional Manager,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,ind,95
Project Management,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,ind,70
Asset Services,Supervisor,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,ind,90
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,ind,20
Business Services/Office Services,Administrative,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,ind,75
Research,Director,Born 1981-1990,11-15 years,Open workstation with low or no panels,Detractor,ind,50
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,ind,65
Project Management,Manager/Regional Manager,Born 1981-1990,6-10 years,Open workstation with low or no panels,Promoter,ind,50
Occupier A&amp;T Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,ind,80
