"dep","title","gen","tenure","setting","nps.cat","id","variable","value"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Detractor",82,"ind","70"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",83,"ind","70"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",84,"ind","60"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",85,"ind","20"
"Agency/Landlord Brokerage","EVP","Born 1965-1980","11-15 years","A private office","Detractor",86,"ind","60"
"Occupier A&amp;T Services","EVP","Born before 1964","6-10 years","A private office","Detractor",87,"ind","70"
"Research","Director","Born 1981-1990","1-2 years","A private office","Detractor",88,"ind","80"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Detractor",89,"ind","25"
"Research","Analyst/Sr Analyst","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",90,"ind","70"
"Retail Brokerage","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",91,"ind","40"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","3-5 years","A private office","Detractor",92,"ind","50"
"Asset Services","Director","Born before 1964","3-5 years","A private office","Promoter",93,"ind","95"
"Occupier A&amp;T Services","VP","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",94,"ind","70"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",95,"ind","60"
"Asset Services","Manager/Regional Manager","Born before 1964","11-15 years","Open workstation with low or no panels","Passive",96,"ind","95"
"Project Management","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",97,"ind","70"
"Asset Services","Supervisor","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",98,"ind","90"
"Occupier A&amp;T Services","SVP","Born before 1964","1-2 years","A private office","Detractor",99,"ind","20"
"Business Services/Office Services","Administrative","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",100,"ind","75"
"Research","Director","Born 1981-1990","11-15 years","Open workstation with low or no panels","Detractor",101,"ind","50"
"Research","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",102,"ind","65"
"Project Management","Manager/Regional Manager","Born 1981-1990","6-10 years","Open workstation with low or no panels","Promoter",103,"ind","50"
"Occupier A&amp;T Services","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",104,"ind","80"
"Occupier A&amp;T Services","Managing Director/Sr Managing Director","Born before 1964","1-2 years","A private office","Passive",105,"ind","50"
"Occupier A&amp;T Services","VP","Born 1965-1980","6-10 years","Open workstation with low or no panels","Detractor",106,"ind","50"
"Client Services","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",107,"ind","75"
"Occupier A&amp;T Services","Supervisor","Born 1981-1990","11-15 years","Open workstation with low or no panels","Promoter",108,"ind","75"
"Capital Markets/Investment Properties","SVP","Born before 1964","11-15 years","Open workstation with low or no panels","Passive",109,"ind","60"
"Occupier A&amp;T Services","FVP","Born 1981-1990","11-15 years","A private office","Detractor",110,"ind","65"
"Occupier A&amp;T Services","Director","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",111,"ind","75"
"Transaction Management","Vice Chairman","Born before 1964","11-15 years","A private office","Passive",112,"ind","30"
"Capital Markets/Investment Properties","SVP","Born before 1964","16 years or more","A private office","Detractor",113,"ind","85"
"Occupier A&amp;T Services","SVP","Born before 1964","1-2 years","A private office","Detractor",114,"ind","50"
"Project Management","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",115,"ind","40"
"Asset Services","Director","Born 1965-1980","11-15 years","A private office","Passive",116,"ind","60"
"Capital Markets/Investment Properties","Analyst/Sr Analyst","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",117,"ind","50"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",118,"ind","80"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",119,"ind","50"
"Capital Markets/Investment Properties","EVP","Born before 1964","16 years or more","A private office","Detractor",120,"ind","50"
