"dep","title","gen","tenure","setting","nps.cat","id","variable","value"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",118,"nameknowing","Always"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",119,"nameknowing","Often"
"Capital Markets/Investment Properties","EVP","Born before 1964","16 years or more","A private office","Detractor",120,"nameknowing","Often"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Detractor",121,"nameknowing","Often"
"Client Services","Administrative","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Detractor",122,"nameknowing","Occasionally"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",123,"nameknowing","Often"
"Financial Consulting Group","Manager/Regional Manager","Born 1965-1980","3-5 years","A private office","Passive",124,"nameknowing","Often"
"Project Management","Managing Director/Sr Managing Director","Born before 1964","3-5 years","A private office","Detractor",125,"nameknowing","Often"
"Occupier A&amp;T Services","SVP","Born 1965-1980","11-15 years","A private office","Detractor",1,"headsdown","Strongly Disagree"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",2,"headsdown","Disagree"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","11-15 years","A private office","Promoter",3,"headsdown","Strongly Agree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",4,"headsdown","Disagree"
"Capital Markets/Investment Properties","Administrative","Born 1965-1980","16 years or more","Open workstation with low or no panels","Detractor",5,"headsdown","Agree"
"Capital Markets/Investment Properties","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Promoter",6,"headsdown","Agree"
"Global Workplace Solutions (GWS)","Manager/Regional Manager","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",7,"headsdown","Disagree"
"Agency/Landlord Brokerage","SVP","Born before 1964","16 years or more","A private office","Passive",8,"headsdown","Agree"
"Management/Leadership","Managing Director/Sr Managing Director","Born 1965-1980","11-15 years","Open workstation with low or no panels","Passive",9,"headsdown","Disagree"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",10,"headsdown","Agree"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",11,"headsdown","Disagree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",12,"headsdown","Agree"
"Research","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",13,"headsdown","Strongly Disagree"
"Financial Consulting Group","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Passive",14,"headsdown","Agree"
"Communications and Marketing","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",15,"headsdown","Agree"
"Communications and Marketing","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",16,"headsdown","Disagree"
"Occupier A&amp;T Services","SVP","Born 1965-1980","Less than 1 year","A private office","Promoter",17,"headsdown","Agree"
"Research","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",18,"headsdown","Agree"
"Capital Markets/Investment Properties","Analyst/Sr Analyst","Born 1965-1980","11-15 years","Open workstation with low or no panels","Detractor",19,"headsdown","Agree"
"Capital Markets/Investment Properties","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Promoter",20,"headsdown","Strongly Disagree"
"Project Management","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Passive",21,"headsdown","Disagree"
"Occupier A&amp;T Services","Analyst/Sr Analyst","Born 1991 or after","1-2 years","I am not assigned to an individual workspace","Detractor",22,"headsdown","Disagree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",23,"headsdown","Disagree"
"Occupier A&amp;T Services","Vice Chairman","Born 1965-1980","6-10 years","A private office","Detractor",24,"headsdown","Disagree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",25,"headsdown","Agree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1991 or after","3-5 years","Open workstation with low or no panels","Passive",26,"headsdown","Strongly Disagree"
"Client Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",27,"headsdown","Strongly Disagree"
"Communications and Marketing","Managing Director/Sr Managing Director","Born 1965-1980","1-2 years","A private office","Detractor",28,"headsdown","Agree"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Promoter",29,"headsdown","Disagree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",30,"headsdown","Agree"
"IT","Manager/Regional Manager","Born 1965-1980","16 years or more","A shared office or work room","Detractor",31,"headsdown","Agree"
"Management/Leadership","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",32,"headsdown","Agree"
"Capital Markets/Debt and Structured Finance","VP","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",33,"headsdown","Disagree"
"Occupier A&amp;T Services","SVP","Born 1965-1980","6-10 years","A private office","Promoter",34,"headsdown","Strongly Agree"
"Client Services","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Detractor",35,"headsdown","Agree"
"Communications and Marketing","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",36,"headsdown","Agree"
"Capital Markets/Debt and Structured Finance","FVP","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",37,"headsdown","Disagree"
"Occupier A&amp;T Services","SVP","Born before 1964","16 years or more","A private office","Promoter",38,"headsdown","Agree"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",39,"headsdown","Disagree"
"Occupier A&amp;T Services","EVP","Born before 1964","16 years or more","A private office","Promoter",40,"headsdown","Agree"
"Management/Leadership","Manager/Regional Manager","Born 1981-1990","6-10 years","A shared office or work room","Detractor",41,"headsdown","Strongly Disagree"
"Asset Services","Managing Director/Sr Managing Director","Born 1965-1980","11-15 years","A private office","Promoter",42,"headsdown","Agree"
"Global Workplace Solutions (GWS)","Director","Born 1981-1990","6-10 years","A private office","Promoter",43,"headsdown","Agree"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",44,"headsdown","Disagree"
"Business Services/Office Services","Administrative","Born 1965-1980","3-5 years","A shared office or work room","Promoter",45,"headsdown","Strongly Agree"
"Agency/Landlord Brokerage","SVP","Born 1981-1990","11-15 years","A private office","Detractor",46,"headsdown","Agree"
"Communications and Marketing","Manager/Regional Manager","Born 1965-1980","3-5 years","Open workstation with low or no panels","Detractor",47,"headsdown","Strongly Disagree"
"Global Workplace Solutions (GWS)","Associate/ Sr Associate","Born 1965-1980","3-5 years","I am not assigned to an individual workspace","Passive",48,"headsdown","Agree"
"Global Workplace Solutions (GWS)","Manager/Regional Manager","Born 1981-1990","3-5 years","I am not assigned to an individual workspace","Promoter",49,"headsdown","Strongly Agree"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","Less than 1 year","A private office","Detractor",50,"headsdown","Disagree"
"Transaction Management","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",51,"headsdown","Disagree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",52,"headsdown","Disagree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","SVP","Born 1965-1980","6-10 years","A private office","Promoter",53,"headsdown","Agree"
"Research","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",54,"headsdown","Agree"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",55,"headsdown","Strongly Disagree"
"Business Services/Office Services","Associate/ Sr Associate","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Promoter",56,"headsdown","Strongly Agree"
"Asset Services","Manager/Regional Manager","Born before 1964","16 years or more","Open workstation with low or no panels","Detractor",57,"headsdown","Disagree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",58,"headsdown","Disagree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",59,"headsdown","Strongly Disagree"
"Agency/Landlord Brokerage","VP","Born 1965-1980","16 years or more","Open workstation with low or no panels","Detractor",60,"headsdown","Strongly Disagree"
"Global Workplace Solutions (GWS)","SVP","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Detractor",61,"headsdown","Strongly Disagree"
"Capital Markets/Investment Properties","SVP","Born 1981-1990","11-15 years","A private office","Detractor",62,"headsdown","Strongly Disagree"
"Corporate Services","Analyst/Sr Analyst","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",63,"headsdown","Strongly Disagree"
"Asset Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",64,"headsdown","Strongly Disagree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","VP","Born 1965-1980","6-10 years","Open workstation with low or no panels","Passive",65,"headsdown","Disagree"
"Occupier A&amp;T Services","SVP","Born before 1964","11-15 years","A private office","Passive",66,"headsdown","Agree"
"Client Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",67,"headsdown","Strongly Disagree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",68,"headsdown","Agree"
"Client Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",69,"headsdown","Disagree"
"Client Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Promoter",70,"headsdown","Strongly Agree"
"Business Services/Office Services","Manager/Regional Manager","Born 1981-1990","3-5 years","A shared office or work room","Detractor",71,"headsdown","Agree"
"Global Workplace Solutions (GWS)","Director","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Passive",72,"headsdown","Disagree"
"Agency/Landlord Brokerage","VP","Born 1965-1980","16 years or more","A private office","Passive",73,"headsdown","Strongly Agree"
"Capital Markets/Investment Properties","VP","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Promoter",74,"headsdown","Agree"
"Communications and Marketing","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",75,"headsdown","Agree"
"Business Services/Office Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",76,"headsdown","Agree"
"Global Workplace Solutions (GWS)","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",77,"headsdown","Disagree"
"Project Management","Director","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Passive",78,"headsdown","Agree"
"Project Management","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",79,"headsdown","Disagree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Promoter",80,"headsdown","Strongly Agree"
"Capital Markets/Debt and Structured Finance","Vice Chairman","Born before 1964","3-5 years","A private office","Promoter",81,"headsdown","Disagree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Detractor",82,"headsdown","Agree"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",83,"headsdown","Agree"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",84,"headsdown","Agree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",85,"headsdown","Disagree"
"Agency/Landlord Brokerage","EVP","Born 1965-1980","11-15 years","A private office","Detractor",86,"headsdown","Strongly Agree"
"Occupier A&amp;T Services","EVP","Born before 1964","6-10 years","A private office","Detractor",87,"headsdown","Disagree"
"Research","Director","Born 1981-1990","1-2 years","A private office","Detractor",88,"headsdown","Strongly Disagree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Detractor",89,"headsdown","Disagree"
"Research","Analyst/Sr Analyst","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",90,"headsdown","Agree"
"Retail Brokerage","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",91,"headsdown","Strongly Disagree"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","3-5 years","A private office","Detractor",92,"headsdown","Agree"
"Asset Services","Director","Born before 1964","3-5 years","A private office","Promoter",93,"headsdown","Agree"
"Occupier A&amp;T Services","VP","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",94,"headsdown","Agree"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",95,"headsdown","Agree"
"Asset Services","Manager/Regional Manager","Born before 1964","11-15 years","Open workstation with low or no panels","Passive",96,"headsdown","Disagree"
"Project Management","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",97,"headsdown","Agree"
"Asset Services","Supervisor","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",98,"headsdown","Disagree"
"Occupier A&amp;T Services","SVP","Born before 1964","1-2 years","A private office","Detractor",99,"headsdown","Strongly Agree"
"Business Services/Office Services","Administrative","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",100,"headsdown","Agree"
"Research","Director","Born 1981-1990","11-15 years","Open workstation with low or no panels","Detractor",101,"headsdown","Strongly Agree"
"Research","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",102,"headsdown","Agree"
"Project Management","Manager/Regional Manager","Born 1981-1990","6-10 years","Open workstation with low or no panels","Promoter",103,"headsdown","Agree"
"Occupier A&amp;T Services","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",104,"headsdown","Agree"
"Occupier A&amp;T Services","Managing Director/Sr Managing Director","Born before 1964","1-2 years","A private office","Passive",105,"headsdown","Agree"
"Occupier A&amp;T Services","VP","Born 1965-1980","6-10 years","Open workstation with low or no panels","Detractor",106,"headsdown","Strongly Disagree"
"Client Services","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",107,"headsdown","Agree"
"Occupier A&amp;T Services","Supervisor","Born 1981-1990","11-15 years","Open workstation with low or no panels","Promoter",108,"headsdown","Disagree"
"Capital Markets/Investment Properties","SVP","Born before 1964","11-15 years","Open workstation with low or no panels","Passive",109,"headsdown","Disagree"
"Occupier A&amp;T Services","FVP","Born 1981-1990","11-15 years","A private office","Detractor",110,"headsdown","Agree"
"Occupier A&amp;T Services","Director","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",111,"headsdown","Disagree"
"Transaction Management","Vice Chairman","Born before 1964","11-15 years","A private office","Passive",112,"headsdown","Strongly Agree"
"Capital Markets/Investment Properties","SVP","Born before 1964","16 years or more","A private office","Detractor",113,"headsdown","Agree"
"Occupier A&amp;T Services","SVP","Born before 1964","1-2 years","A private office","Detractor",114,"headsdown","Agree"
"Project Management","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",115,"headsdown","Agree"
"Asset Services","Director","Born 1965-1980","11-15 years","A private office","Passive",116,"headsdown","Agree"
"Capital Markets/Investment Properties","Analyst/Sr Analyst","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",117,"headsdown","Agree"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",118,"headsdown","Agree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",119,"headsdown","Agree"
"Capital Markets/Investment Properties","EVP","Born before 1964","16 years or more","A private office","Detractor",120,"headsdown","Agree"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Detractor",121,"headsdown","Disagree"
"Client Services","Administrative","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Detractor",122,"headsdown","Agree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",123,"headsdown","Agree"
"Financial Consulting Group","Manager/Regional Manager","Born 1965-1980","3-5 years","A private office","Passive",124,"headsdown","Strongly Agree"
"Project Management","Managing Director/Sr Managing Director","Born before 1964","3-5 years","A private office","Detractor",125,"headsdown","Agree"
"Occupier A&amp;T Services","SVP","Born 1965-1980","11-15 years","A private office","Detractor",1,"private","Agree"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",2,"private","Disagree"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","11-15 years","A private office","Promoter",3,"private","Strongly Agree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",4,"private","Disagree"
"Capital Markets/Investment Properties","Administrative","Born 1965-1980","16 years or more","Open workstation with low or no panels","Detractor",5,"private","Strongly Disagree"
"Capital Markets/Investment Properties","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Promoter",6,"private","Disagree"
"Global Workplace Solutions (GWS)","Manager/Regional Manager","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",7,"private","Disagree"
"Agency/Landlord Brokerage","SVP","Born before 1964","16 years or more","A private office","Passive",8,"private","Disagree"
"Management/Leadership","Managing Director/Sr Managing Director","Born 1965-1980","11-15 years","Open workstation with low or no panels","Passive",9,"private","Disagree"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",10,"private","Disagree"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",11,"private","Agree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",12,"private","Disagree"
"Research","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",13,"private","Strongly Disagree"
"Financial Consulting Group","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Passive",14,"private","Disagree"
"Communications and Marketing","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",15,"private","Disagree"
"Communications and Marketing","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",16,"private","Disagree"
"Occupier A&amp;T Services","SVP","Born 1965-1980","Less than 1 year","A private office","Promoter",17,"private","Disagree"
"Research","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",18,"private","Agree"
"Capital Markets/Investment Properties","Analyst/Sr Analyst","Born 1965-1980","11-15 years","Open workstation with low or no panels","Detractor",19,"private","Disagree"
"Capital Markets/Investment Properties","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Promoter",20,"private","Disagree"
"Project Management","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Passive",21,"private","Strongly Disagree"
"Occupier A&amp;T Services","Analyst/Sr Analyst","Born 1991 or after","1-2 years","I am not assigned to an individual workspace","Detractor",22,"private","Agree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",23,"private","Agree"
"Occupier A&amp;T Services","Vice Chairman","Born 1965-1980","6-10 years","A private office","Detractor",24,"private","Strongly Disagree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",25,"private","Agree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1991 or after","3-5 years","Open workstation with low or no panels","Passive",26,"private","Agree"
"Client Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",27,"private","Disagree"
"Communications and Marketing","Managing Director/Sr Managing Director","Born 1965-1980","1-2 years","A private office","Detractor",28,"private","Disagree"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Promoter",29,"private","Disagree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",30,"private","Disagree"
"IT","Manager/Regional Manager","Born 1965-1980","16 years or more","A shared office or work room","Detractor",31,"private","Agree"
"Management/Leadership","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",32,"private","Agree"
"Capital Markets/Debt and Structured Finance","VP","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",33,"private","Disagree"
"Occupier A&amp;T Services","SVP","Born 1965-1980","6-10 years","A private office","Promoter",34,"private","Strongly Agree"
"Client Services","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Detractor",35,"private","Disagree"
"Communications and Marketing","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",36,"private","Disagree"
"Capital Markets/Debt and Structured Finance","FVP","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",37,"private","Strongly Disagree"
"Occupier A&amp;T Services","SVP","Born before 1964","16 years or more","A private office","Promoter",38,"private","Agree"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",39,"private","Disagree"
"Occupier A&amp;T Services","EVP","Born before 1964","16 years or more","A private office","Promoter",40,"private","Agree"
"Management/Leadership","Manager/Regional Manager","Born 1981-1990","6-10 years","A shared office or work room","Detractor",41,"private","Disagree"
"Asset Services","Managing Director/Sr Managing Director","Born 1965-1980","11-15 years","A private office","Promoter",42,"private","Disagree"
"Global Workplace Solutions (GWS)","Director","Born 1981-1990","6-10 years","A private office","Promoter",43,"private","Agree"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",44,"private","Disagree"
"Business Services/Office Services","Administrative","Born 1965-1980","3-5 years","A shared office or work room","Promoter",45,"private","Disagree"
"Agency/Landlord Brokerage","SVP","Born 1981-1990","11-15 years","A private office","Detractor",46,"private","Agree"
"Communications and Marketing","Manager/Regional Manager","Born 1965-1980","3-5 years","Open workstation with low or no panels","Detractor",47,"private","Strongly Disagree"
"Global Workplace Solutions (GWS)","Associate/ Sr Associate","Born 1965-1980","3-5 years","I am not assigned to an individual workspace","Passive",48,"private","Agree"
"Global Workplace Solutions (GWS)","Manager/Regional Manager","Born 1981-1990","3-5 years","I am not assigned to an individual workspace","Promoter",49,"private","Disagree"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","Less than 1 year","A private office","Detractor",50,"private","Disagree"
"Transaction Management","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",51,"private","Disagree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",52,"private","Disagree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","SVP","Born 1965-1980","6-10 years","A private office","Promoter",53,"private","Agree"
"Research","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",54,"private","Agree"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",55,"private","Strongly Disagree"
"Business Services/Office Services","Associate/ Sr Associate","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Promoter",56,"private","Strongly Agree"
"Asset Services","Manager/Regional Manager","Born before 1964","16 years or more","Open workstation with low or no panels","Detractor",57,"private","Disagree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",58,"private","Disagree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",59,"private","Strongly Disagree"
"Agency/Landlord Brokerage","VP","Born 1965-1980","16 years or more","Open workstation with low or no panels","Detractor",60,"private","Strongly Disagree"
"Global Workplace Solutions (GWS)","SVP","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Detractor",61,"private","Strongly Disagree"
"Capital Markets/Investment Properties","SVP","Born 1981-1990","11-15 years","A private office","Detractor",62,"private","Strongly Disagree"
"Corporate Services","Analyst/Sr Analyst","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",63,"private","Strongly Agree"
"Asset Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",64,"private","Disagree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","VP","Born 1965-1980","6-10 years","Open workstation with low or no panels","Passive",65,"private","Strongly Disagree"
"Occupier A&amp;T Services","SVP","Born before 1964","11-15 years","A private office","Passive",66,"private","Agree"
"Client Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",67,"private","Disagree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",68,"private","Disagree"
"Client Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",69,"private","Agree"
"Client Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Promoter",70,"private","Strongly Agree"
"Business Services/Office Services","Manager/Regional Manager","Born 1981-1990","3-5 years","A shared office or work room","Detractor",71,"private","Disagree"
"Global Workplace Solutions (GWS)","Director","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Passive",72,"private","Disagree"
"Agency/Landlord Brokerage","VP","Born 1965-1980","16 years or more","A private office","Passive",73,"private","Agree"
"Capital Markets/Investment Properties","VP","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Promoter",74,"private","Agree"
"Communications and Marketing","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",75,"private","Disagree"
"Business Services/Office Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",76,"private","Strongly Agree"
"Global Workplace Solutions (GWS)","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",77,"private","Disagree"
"Project Management","Director","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Passive",78,"private","Agree"
"Project Management","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",79,"private","Disagree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Promoter",80,"private","Strongly Agree"
"Capital Markets/Debt and Structured Finance","Vice Chairman","Born before 1964","3-5 years","A private office","Promoter",81,"private","Strongly Disagree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Detractor",82,"private","Agree"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",83,"private","Agree"
